Image_Name,width,height,total_pixels,terrestrial_pixels_hard,terrestrial_pixels_soft,mean_pixel_confidence,n_background,soft_background,softvar_background,n_building,soft_building,softvar_building,n_earth,soft_earth,softvar_earth,n_grass,soft_grass,softvar_grass,n_animal,soft_animal,softvar_animal,n_mountain,soft_mountain,softvar_mountain,n_path_road,soft_path_road,softvar_path_road,n_person,soft_person,softvar_person,n_rock,soft_rock,softvar_rock,n_shrub_bush,soft_shrub_bush,softvar_shrub_bush,n_sky,soft_sky,softvar_sky,n_tree_conical,soft_tree_conical,softvar_tree_conical,n_tree_broadleaf,soft_tree_broadleaf,softvar_tree_broadleaf,n_wooded_mass,soft_wooded_mass,softvar_wooded_mass,n_Water,soft_Water,softvar_Water
201.jpg,681,800,544800,164957,165345.8995473276,0.9122083455872573,70618,72404.69587825295,17889.209045152315,0,40.987322499360744,40.982444422747065,61369,63654.61768592441,15164.687834461436,0,1774.1108844354058,1732.9988207904803,16456,15653.55680447096,4164.710225156498,0,110.927579950383,110.84439039654958,20952,15794.082820139836,8569.881058910525,23209,23230.14112480962,4871.425160651273,0,267.5505502330707,266.8323861248152,15,2087.9707839905386,1666.7726317620163,309225,307049.40330932237,4068.464385721597,0,104.21858529396741,104.15809882563912,37474,36515.06437909891,2583.929953535947,5482,4764.7025375638605,2180.3294068402524,0,1347.9684889172095,1310.1112479306078
202.jpg,800,579,463200,205915,204941.6469019968,0.9142006230597515,66213,67754.61371103104,20152.79450693778,62266,61395.50448635004,3882.1610506961665,14658,11133.849655784416,5521.179995790382,0,197.47293374328365,196.79271124340463,4550,4530.182467634713,1840.5282275108184,0,38.37235118753415,38.366389765619004,0,171.59094405844007,171.0072810955355,708,842.6388722570318,407.1316261827171,10101,14340.552654610488,5705.637577288377,55533,54610.07869946161,7287.796846181736,191072,190503.73890465742,3088.3733577496964,0,303.2987465181286,298.8182639175513,58099,57101.86536404004,5588.216899864034,0,125.92367218592335,125.74627516527582,0,150.3160541651887,149.700346136225
203.jpg,800,649,519200,153532,160347.45138936472,0.8670692100133087,119672,118628.8669285234,29277.981604404282,25630,24902.42454817357,3988.5640476124813,2506,7227.067013241765,4941.056367765218,27010,29063.932674600263,12190.22541181595,214,657.2286028561466,515.1126207953381,0,56.98966958455412,56.93374754784325,0,251.57819530352208,249.62349030208847,0,119.61526402892923,116.7045153893649,0,539.0004739955475,521.9862517905552,6116,3885.638505280993,2943.7596727230784,245996,240223.68306924956,10275.096542085728,0,83.22273519957344,83.16845051638573,6729,16580.52075402585,9133.268544902361,16280,11328.848467609263,6129.558116986678,69047,65651.38448546475,12768.792365698304
204.jpg,800,537,429600,88830,88339.50017028254,0.9527533554830336,39949,41522.955553110645,11579.643865914286,400,637.7453169973523,391.06590086533294,8388,8692.675117772145,2902.3610693020105,0,48.17790984023304,48.10264445608912,0,19.970387558743823,19.96906942469902,0,32.648202392318126,32.64549303677304,0,21.458334813129113,21.4569022575549,695,1126.7264707315353,589.0357829815414,0,31.12487377659454,31.12226019967422,11563,10755.519306367703,3327.149553657101,300821,299737.54736477596,4039.0468578493083,0,32.52509212866062,32.518302600992975,17970,18186.311634459722,1687.0787895536168,0,36.06682241757517,36.05915937231685,49814,48718.55070102679,3007.6838993111605
205.jpg,800,714,571200,87363,88947.45313196261,0.9169190231248402,98616,98517.86272456708,14416.250753252558,0,91.00639799694363,88.96940447614047,22431,35346.72836534773,15710.358300153983,0,251.03219601509772,250.23549276469384,0,83.5521811488361,83.07517194719557,0,90.39999070705653,90.35052089757869,0,253.24890861404856,252.37563739352035,5039,5443.740822063219,2218.0644979758104,0,52.624634559275364,52.37770938248651,0,39.58315522234079,39.572738962971286,385221,383734.6828406953,7401.904032001572,0,54.33812534045501,54.32853785123815,0,158.35582728138252,158.26213610638462,0,49.03234900789903,49.010361095659796,59893,47033.81017865823,17721.59813322254
206.jpg,800,647,517600,180849,176471.65569964578,0.9359383872990861,38875,45835.83245165353,17605.285875735033,21718,21471.25626804754,1507.6862354029,13274,13100.868892570788,1271.9648359880425,16381,16242.414573986325,1123.9786794057813,10678,10122.75384610922,1807.5616331881015,0,35.718194433230565,35.71504444675401,0,24.830393266513056,24.828776512110032,25278,24294.782854700003,4211.923347085969,0,29.283284048899077,29.281400613673906,0,30.242036711231776,30.231858689231572,297876,295292.51077951014,6464.440414412448,0,40.41212604888642,40.40291100209954,31150,29317.030317219578,4175.953233832277,0,28.334485774481436,28.331907006892667,62370,61733.72842672911,6749.2600331503145
207.jpg,762,800,609600,406760,404707.27933389175,0.8651625501339536,131935,135082.77371631138,44882.71570886158,30613,29493.088143685185,5525.938074552903,29248,31644.348336883104,9510.463940875828,2966,1989.367805747208,1530.2640016757784,52031,53465.949241119524,8865.153764315279,0,80.23602017436588,80.16320323697084,0,361.4537488913538,351.66000376849706,111195,107265.50471923962,11015.653154915013,0,1605.0552189779046,1494.4796131877067,8955,8113.183247684714,4422.480868893686,70905,69809.94667704907,7977.71982738977,0,144.8088936042841,144.69858191272377,149600,147793.87787098243,11940.901548756832,0,1250.6568784877163,1171.4275182598,22152,21499.749208414385,4512.248388515476
208.jpg,661,800,528800,171634,169040.92952430568,0.8894126654166091,55863,61600.71674460407,26823.23978112312,0,44.61655563772001,44.56106585831149,62094,53969.98957458911,10167.53320457389,0,1121.990023765412,1096.875966423154,29081,28088.83242576271,4065.9356777307253,1573,1440.1785279349242,966.1937426570071,0,68.08881323067544,68.05073916348633,5109,5705.861338829898,1074.9179374545315,0,96.21482005026519,95.87907600230322,11918,18457.98010532142,10758.847071943277,301303,298158.3634224303,11390.8760064157,0,92.7229478751924,92.54750400882816,53817,50184.11595683909,9738.296372278877,0,303.90097443136256,290.07603179554667,8042,9466.437460037803,3576.6116582089658
209.jpg,800,524,419200,120024,116764.59709324894,0.9034196563623135,41830,45871.938216670904,18370.941805222046,0,43.73005635852223,43.70606696272036,99492,84385.78626260794,20970.959114714715,2790,8806.795723294963,5775.576794247808,0,101.93570708801053,101.8330753412874,0,64.62335521020486,64.60719470856132,0,79.12345881533838,79.08218036002177,1367,1425.6388772675582,307.3373536142789,0,415.4552744737848,413.0529000631267,0,4270.905215068262,3985.621224142634,257346,256563.46737560624,2292.2603823151153,0,106.79733034367382,106.64689790429479,16375,16761.32931050103,3270.2428890931765,0,257.5866443334453,255.70586569697096,0,44.88987788617669,44.88170954257482
21.jpg,653,800,522400,424822,422544.3062521927,0.9470241437871494,78878,81289.0673547516,18539.52134796868,8524,8538.656216489757,828.5538882065764,30501,30008.316485018368,6109.143599252456,0,57.82899748199998,57.74564344569694,2995,3145.1444331310886,606.1406572685663,0,36.00632022285208,35.95088477644538,10,56.03521568902397,50.014900088446744,0,33.79604123842364,33.7900790211213,0,57.1827721453883,57.08579809723196,0,35.876941893455296,35.83918079840224,18700,18566.62621683388,1547.8083482666382,0,93.14441381920915,92.98070534638055,382792,380396.00285556633,10747.298760141623,0,55.93379412466311,55.91472532025929,0,30.38176537212712,30.29359452136679
