variable,mean,sd,2.5%,97.5%,rhat,ess_bulk,ess_tail,model
b_b1_habitatopencountryside,0.6745002993121255,0.5597298729837844,-0.4452491032697003,1.7677706778973548,1.0004604327538122,5682.884126748667,6666.306101303385,M3
b_b1_habitatriverDlakesidelandscape,0.6696554830832662,0.5390044654741016,-0.39183213872421,1.7243113874854599,1.000442966339578,6175.737982235662,6232.824423565465,M3
b_b1_habitaturbanDarchitecturallandscape,-0.7561343248644475,0.6364888807508047,-2.0301495120651727,0.47447028812816516,1.000178312158851,7053.440552390229,6004.672366557281,M3
b_b1_habitatwoodlandlandscape,0.27600967145103966,0.7068889519313525,-1.1235172048769888,1.660252357957824,1.0004571073263284,7565.782001370331,5831.027965020129,M3
b_b2_date_sc,-0.5740641779865585,0.6662633520377588,-1.872521069504566,0.7242675854156295,1.0000918321807966,8535.33875490478,6029.574509285553,M3
b_b2_lat_sc,-0.888672110571962,0.5082518698437153,-1.8778595399497404,0.11534154581409767,1.0005061750160127,6901.605799919092,6290.996765814324,M3
b_b2_lon_sc,-0.3556799825146837,0.6321975354939808,-1.5949547295666235,0.8633642515427505,1.0003350892157468,6719.707603614596,5766.026077931406,M3
b_b2_habitatmountainDrockylandscape,0.3829999987888734,0.8689121353771111,-1.3203312440241102,2.080174972042233,1.0002719076358106,11594.459910761956,6245.819270112872,M3
b_b2_habitatopencountryside,1.636717679981152,0.7380978794704317,0.1570875040105503,3.061912238726481,1.0002365552878463,8086.300702527797,6039.372547849997,M3
b_b2_habitatriverDlakesidelandscape,-0.9201698067090733,0.7084443722009757,-2.320430277479189,0.4554679499221776,1.0002390673677042,9378.067665316701,6273.374436787442,M3
b_b2_habitaturbanDarchitecturallandscape,0.028318250904243673,0.8177659204740935,-1.5843167801076665,1.6262041930486881,1.0000648320051675,8278.285943196022,5647.952679202133,M3
b_b2_habitatwoodlandlandscape,1.2877571070306495,0.8526779904207059,-0.39608604935921454,2.9586727673743694,1.000786160856729,9958.686571166036,5812.015293855388,M3
b_b3_date_sc,-0.5071256728138069,0.4770024547820083,-1.4275465126161848,0.45541142374295795,1.0003479347105382,11096.998121634993,6377.9769890713,M3
b_b3_lat_sc,0.40012934406223866,0.3198323548402725,-0.23700623063142004,1.0062727764088124,0.999931625639998,9035.773692043793,6539.303817668815,M3
b_b3_lon_sc,0.19172505582028967,0.4548513840556826,-0.6984630970700368,1.077183802926645,0.9999967180215342,8158.90115924862,6081.961672264513,M3
